0,1,2,output
553,1160,61,1729
1160,61,1729,3
61,1729,3,23
1729,3,23,0
3,23,0,365
23,0,365,87
0,365,87,0
365,87,0,1290
87,0,1290,1120
0,1290,1120,12
1290,1120,12,761
1120,12,761,1
12,761,1,1305
761,1,1305,1563
1,1305,1563,52
1305,1563,52,0
1563,52,0,401
52,0,401,685
0,401,685,4183
401,685,4183,82
685,4183,82,45
4183,82,45,9
82,45,9,324
45,9,324,73
9,324,73,11
324,73,11,19
73,11,19,94
11,19,94,109
19,94,109,112
94,109,112,3
109,112,3,269
112,3,269,9
3,269,9,2
269,9,2,473
9,2,473,15
2,473,15,217
473,15,217,15
15,217,15,34
217,15,34,9
15,34,9,190
34,9,190,330
9,190,330,47
190,330,47,6
330,47,6,260
47,6,260,5
6,260,5,9
260,5,9,43
5,9,43,27
9,43,27,240
43,27,240,293
27,240,293,972
240,293,972,2
293,972,2,1795
972,2,1795,1175
2,1795,1175,220
1795,1175,220,0
1175,220,0,2468
220,0,2468,58
0,2468,58,4
2468,58,4,0
58,4,0,296
4,0,296,14
0,296,14,170
296,14,170,741
14,170,741,7
170,741,7,12
741,7,12,7296
7,12,7296,1572
12,7296,1572,1
7296,1572,1,8
1572,1,8,85
1,8,85,16
8,85,16,1181
85,16,1181,14
16,1181,14,143
1181,14,143,29
14,143,29,23
143,29,23,383
29,23,383,9
23,383,9,6
383,9,6,248
9,6,248,112
6,248,112,3
248,112,3,166
112,3,166,9
3,166,9,215
166,9,215,39
9,215,39,2743
215,39,2743,890
39,2743,890,6
2743,890,6,377
890,6,377,11
6,377,11,193
377,11,193,9
11,193,9,330
193,9,330,94
9,330,94,685
330,94,685,106
94,685,106,10009
685,106,10009,3
106,10009,3,7855
10009,3,7855,7
3,7855,7,0
7855,7,0,1751
7,0,1751,4
0,1751,4,238
1751,4,238,200
4,238,200,1
238,200,1,6
200,1,6,166
1,6,166,9
6,166,9,1249
166,9,1249,11
9,1249,11,140
1249,11,140,669
11,140,669,55
140,669,55,19
669,55,19,20
55,19,20,4882
19,20,4882,3
20,4882,3,79
4882,3,79,20
3,79,20,154
79,20,154,9
20,154,9,56
154,9,56,1141
9,56,1141,193
56,1141,193,9
1141,193,9,330
193,9,330,140
9,330,140,1683
330,140,1683,9
140,1683,9,70
1683,9,70,3529
9,70,3529,116
70,3529,116,6340
3529,116,6340,1621
116,6340,1621,79
6340,1621,79,1
1621,79,1,47
79,1,47,6
1,47,6,23
47,6,23,4199
6,23,4199,9
23,4199,9,59
4199,9,59,0
9,59,0,332
59,0,332,3
0,332,3,11
332,3,11,2
3,11,2,109
11,2,109,153
2,109,153,2
109,153,2,1312
153,2,1312,6577
2,1312,6577,198
1312,6577,198,7
6577,198,7,2
198,7,2,1660
7,2,1660,1027
2,1660,1027,9806
1660,1027,9806,2738
1027,9806,2738,869
9806,2738,869,0
2738,869,0,218
869,0,218,1784
0,218,1784,2
218,1784,2,9884
1784,2,9884,814
2,9884,814,981
9884,814,981,1393
814,981,1393,4
981,1393,4,83
1393,4,83,9328
4,83,9328,391
83,9328,391,5330
9328,391,5330,24
391,5330,24,1288
5330,24,1288,5
24,1288,5,102
1288,5,102,3
5,102,3,73
102,3,73,46
3,73,46,0
73,46,0,355
46,0,355,0
0,355,0,296
355,0,296,1168
0,296,1168,36
296,1168,36,4
1168,36,4,0
36,4,0,1393
4,0,1393,10204
0,1393,10204,157
1393,10204,157,697
10204,157,697,1
157,697,1,191
697,1,191,22
1,191,22,268
191,22,268,0
22,268,0,247
268,0,247,14
0,247,14,16
247,14,16,157
14,16,157,30
16,157,30,22
157,30,22,3726
30,22,3726,83
22,3726,83,4
3726,83,4,0
83,4,0,1929
4,0,1929,85
0,1929,85,8
1929,85,8,9769
85,8,9769,12
8,9769,12,185
9769,12,185,812
12,185,812,0
185,812,0,751
812,0,751,9623
0,751,9623,1929
751,9623,1929,528
9623,1929,528,26
1929,528,26,45
528,26,45,2
26,45,2,2612
45,2,2612,2
2,2612,2,2612
2612,2,2612,13
2,2612,13,0
2612,13,0,1969
13,0,1969,328
0,1969,328,8
1969,328,8,50
328,8,50,163
8,50,163,4094
50,163,4094,318
163,4094,318,12
4094,318,12,913
318,12,913,1863
12,913,1863,58
913,1863,58,12
1863,58,12,1694
58,12,1694,9110
12,1694,9110,1
1694,9110,1,0
9110,1,0,4299
1,0,4299,4
0,4299,4,3811
4299,4,3811,1
4,3811,1,639
3811,1,639,2465
1,639,2465,2728
639,2465,2728,109
2465,2728,109,1421
2728,109,1421,8
109,1421,8,25
1421,8,25,697
8,25,697,313
25,697,313,12
697,313,12,812
313,12,812,13
12,812,13,0
812,13,0,755
13,0,755,4
0,755,4,2
755,4,2,1951
4,2,1951,743
2,1951,743,1
1951,743,1,858
743,1,858,395
1,858,395,12
858,395,12,1639
395,12,1639,6342
12,1639,6342,5
1639,6342,5,182
6342,5,182,131
5,182,131,134
182,131,134,324
131,134,324,73
134,324,73,295
324,73,295,37
73,295,37,29
295,37,29,4
37,29,4,685
29,4,685,61
4,685,61,187
685,61,187,7
61,187,7,2084
187,7,2084,4
7,2084,4,0
2084,4,0,3010
4,0,3010,4
0,3010,4,145
3010,4,145,261
4,145,261,9357
145,261,9357,1
261,9357,1,9028
9357,1,9028,217
1,9028,217,13
9028,217,13,140
217,13,140,8463
13,140,8463,7833
140,8463,7833,7
8463,7833,7,152
7833,7,152,0
7,152,0,247
152,0,247,1639
0,247,1639,20
247,1639,20,13
1639,20,13,53
20,13,53,185
13,53,185,200
53,185,200,14
185,200,14,1811
200,14,1811,1752
14,1811,1752,117
1811,1752,117,163
1752,117,163,0
117,163,0,247
163,0,247,1455
0,247,1455,4
247,1455,4,3775
1455,4,3775,167
4,3775,167,214
3775,167,214,14
167,214,14,614
214,14,614,220
14,614,220,0
614,220,0,427
220,0,427,1899
0,427,1899,13
427,1899,13,685
1899,13,685,764
13,685,764,3
685,764,3,646
764,3,646,407
3,646,407,1013
646,407,1013,179
407,1013,179,0
1013,179,0,3833
179,0,3833,4
0,3833,4,5644
3833,4,5644,168
4,5644,168,349
5644,168,349,55
168,349,55,275
349,55,275,4
55,275,4,1371
275,4,1371,2291
4,1371,2291,57
1371,2291,57,6
2291,57,6,166
57,6,166,3275
6,166,3275,11
166,3275,11,29
3275,11,29,139
11,29,139,5
29,139,5,163
139,5,163,723
5,163,723,3
163,723,3,128
723,3,128,40
3,128,40,10082
128,40,10082,11
40,10082,11,358
10082,11,358,2
11,358,2,321
358,2,321,217
2,321,217,10319
321,217,10319,15
217,10319,15,93
10319,15,93,429
15,93,429,19
93,429,19,1842
429,19,1842,1231
19,1842,1231,11
1842,1231,11,2687
1231,11,2687,4
11,2687,4,93
2687,4,93,899
4,93,899,19
93,899,19,163
899,19,163,1082
19,163,1082,76
163,1082,76,46
1082,76,46,9
76,46,9,70
46,9,70,99
9,70,99,0
70,99,0,1230
99,0,1230,266
0,1230,266,0
1230,266,0,95
266,0,95,1054
0,95,1054,31
95,1054,31,8150
1054,31,8150,214
31,8150,214,13
8150,214,13,2
214,13,2,2328
13,2,2328,15
2,2328,15,32
2328,15,32,9683
15,32,9683,3
32,9683,3,764
9683,3,764,3
3,764,3,7205
764,3,7205,194
3,7205,194,4
7205,194,4,1092
194,4,1092,20
4,1092,20,29
1092,20,29,4
20,29,4,194
29,4,194,471
4,194,471,29
194,471,29,437
471,29,437,4
29,437,4,53
437,4,53,1769
4,53,1769,29
53,1769,29,169
1769,29,169,5673
29,169,5673,11
169,5673,11,19
5673,11,19,16
11,19,16,140
19,16,140,74
16,140,74,324
140,74,324,73
74,324,73,1022
324,73,1022,70
73,1022,70,19
1022,70,19,140
70,19,140,3961
19,140,3961,97
140,3961,97,1
3961,97,1,29
97,1,29,1690
1,29,1690,5
29,1690,5,7
1690,5,7,1443
5,7,1443,1
7,1443,1,11
1443,1,11,429
1,11,429,190
11,429,190,1690
429,190,1690,5
190,1690,5,7
1690,5,7,355
5,7,355,55
7,355,55,134
355,55,134,20
55,134,20,1371
134,20,1371,3010
20,1371,3010,3596
1371,3010,3596,72
3010,3596,72,75
3596,72,75,2198
72,75,2198,9667
75,2198,9667,3
2198,9667,3,982
9667,3,982,29
3,982,29,725
982,29,725,140
29,725,140,209
725,140,209,91
140,209,91,116
209,91,116,237
91,116,237,29
116,237,29,807
237,29,807,3
29,807,3,330
807,3,330,188
3,330,188,6
330,188,6,4490
188,6,4490,3595
6,4490,3595,1
4490,3595,1,46
3595,1,46,36
1,46,36,234
46,36,234,29
36,234,29,4858
234,29,4858,40
29,4858,40,1377
4858,40,1377,13
40,1377,13,1371
1377,13,1371,845
13,1371,845,40
1371,845,40,1377
845,40,1377,405
40,1377,405,32
1377,405,32,93
405,32,93,4
32,93,4,0
93,4,0,1811
4,0,1811,608
0,1811,608,117
1811,608,117,5
608,117,5,11
117,5,11,1377
5,11,1377,10
11,1377,10,0
1377,10,0,102
10,0,102,4122
0,102,4122,1987
102,4122,1987,4
4122,1987,4,926
1987,4,926,756
4,926,756,2
926,756,2,1455
756,2,1455,29
2,1455,29,22
1455,29,22,479
29,22,479,92
22,479,92,3
479,92,3,595
92,3,595,54
3,595,54,1752
595,54,1752,14
54,1752,14,36
1752,14,36,29
14,36,29,43
36,29,43,119
29,43,119,242
43,119,242,15
119,242,15,29
242,15,29,31
15,29,31,548
29,31,548,0
31,548,0,778
548,0,778,7290
0,778,7290,581
778,7290,581,179
7290,581,179,0
581,179,0,3849
179,0,3849,4
0,3849,4,2942
3849,4,2942,52
4,2942,52,756
2942,52,756,19
52,756,19,0
756,19,0,74
19,0,74,4
0,74,4,3682
74,4,3682,1162
4,3682,1162,7456
3682,1162,7456,0
1162,7456,0,10391
7456,0,10391,69
0,10391,69,0
10391,69,0,4080
69,0,4080,4
0,4080,4,4
4080,4,4,406
4,4,406,901
4,406,901,6684
406,901,6684,3
901,6684,3,0
6684,3,0,36
3,0,36,2868
0,36,2868,4233
36,2868,4233,1016
2868,4233,1016,4233
4233,1016,4233,123
1016,4233,123,0
4233,123,0,7
123,0,7,0
0,7,0,38
7,0,38,136
0,38,136,43
38,136,43,27
136,43,27,39
43,27,39,356
27,39,356,7
39,356,7,1371
356,7,1371,140
7,1371,140,74
1371,140,74,27
140,74,27,14
74,27,14,44
27,14,44,190
14,44,190,3
44,190,3,34
190,3,34,3108
3,34,3108,39
34,3108,39,27
3108,39,27,1208
39,27,1208,3
27,1208,3,9894
1208,3,9894,6
3,9894,6,2952
9894,6,2952,2
6,2952,2,278
2952,2,278,123
2,278,123,5047
278,123,5047,1290
123,5047,1290,642
5047,1290,642,3
1290,642,3,1123
642,3,1123,32
3,1123,32,1
1123,32,1,3
32,1,3,1539
1,3,1539,2
3,1539,2,3167
1539,2,3167,0
2,3167,0,9459
3167,0,9459,160
0,9459,160,4
9459,160,4,324
160,4,324,73
4,324,73,169
324,73,169,20
73,169,20,78
169,20,78,31
20,78,31,2038
78,31,2038,0
31,2038,0,5876
2038,0,5876,4
0,5876,4,2
5876,4,2,5463
4,2,5463,259
2,5463,259,0
5463,259,0,910
259,0,910,3
0,910,3,11
910,3,11,3455
3,11,3455,22
11,3455,22,62
3455,22,62,354
22,62,354,0
62,354,0,234
354,0,234,53
0,234,53,548
234,53,548,82
53,548,82,102
548,82,102,1702
82,102,1702,0
102,1702,0,746
1702,0,746,47
0,746,47,30
746,47,30,3014
47,30,3014,71
30,3014,71,11
3014,71,11,1450
71,11,1450,5
11,1450,5,10
1450,5,10,1778
5,10,1778,3
10,1778,3,878
1778,3,878,11
3,878,11,30
878,11,30,43
11,30,43,1517
30,43,1517,0
43,1517,0,118
1517,0,118,29
0,118,29,2791
118,29,2791,0
29,2791,0,9359
2791,0,9359,4
0,9359,4,678
9359,4,678,1767
4,678,1767,0
678,1767,0,678
1767,0,678,861
0,678,861,20
678,861,20,9
861,20,9,392
20,9,392,5
9,392,5,29
392,5,29,59
5,29,59,33
29,59,33,11
59,33,11,43
33,11,43,189
11,43,189,2
43,189,2,1358
189,2,1358,909
2,1358,909,11
1358,909,11,43
909,11,43,2077
11,43,2077,28
43,2077,28,40
2077,28,40,870
28,40,870,1588
40,870,1588,7
870,1588,7,36
1588,7,36,3450
7,36,3450,1383
36,3450,1383,140
3450,1383,140,1588
1383,140,1588,324
140,1588,324,73
1588,324,73,1207
324,73,1207,1
73,1207,1,1282
1207,1,1282,23
1,1282,23,31
1282,23,31,93
23,31,93,125
31,93,125,18
93,125,18,35
125,18,35,13
18,35,13,11
35,13,11,511
13,11,511,0
11,511,0,466
511,0,466,10
0,466,10,116
466,10,116,6360
10,116,6360,124
116,6360,124,0
6360,124,0,1290
124,0,1290,685
0,1290,685,1
1290,685,1,6952
685,1,6952,4
1,6952,4,1832
6952,4,1832,13
4,1832,13,4876
1832,13,4876,246
13,4876,246,1068
4876,246,1068,5075
246,1068,5075,1054
1068,5075,1054,1090
5075,1054,1090,1
1054,1090,1,37
1090,1,37,1811
1,37,1811,110
37,1811,110,767
1811,110,767,4
110,767,4,16
767,4,16,472
4,16,472,59
16,472,59,5
472,59,5,14
59,5,14,1488
5,14,1488,20
14,1488,20,29
1488,20,29,23
20,29,23,140
29,23,140,185
23,140,185,1869
140,185,1869,15
185,1869,15,140
1869,15,140,1460
15,140,1460,80
140,1460,80,2
1460,80,2,1302
80,2,1302,205
2,1302,205,31
1302,205,31,8585
205,31,8585,220
31,8585,220,2
8585,220,2,427
220,2,427,86
2,427,86,56
427,86,56,462
86,56,462,3
56,462,3,802
462,3,802,15
3,802,15,0
802,15,0,312
15,0,312,1207
0,312,1207,19
312,1207,19,36
1207,19,36,4
19,36,4,142
36,4,142,86
4,142,86,106
142,86,106,1
86,106,1,11
106,1,11,19
1,11,19,94
11,19,94,29
19,94,29,4
94,29,4,685
29,4,685,31
4,685,31,373
685,31,373,2
31,373,2,10261
373,2,10261,214
2,10261,214,7
10261,214,7,53
214,7,53,1751
7,53,1751,55
53,1751,55,187
1751,55,187,20
55,187,20,30
187,20,30,8787
20,30,8787,3
30,8787,3,901
8787,3,901,1666
3,901,1666,232
901,1666,232,970
1666,232,970,4
232,970,4,53
970,4,53,200
4,53,200,1280
53,200,1280,65
200,1280,65,567
1280,65,567,19
65,567,19,3602
567,19,3602,212
19,3602,212,0
3602,212,0,627
212,0,627,4
0,627,4,2
627,4,2,2075
4,2,2075,211
2,2075,211,4835
2075,211,4835,61
211,4835,61,895
4835,61,895,4
61,895,4,53
895,4,53,185
4,53,185,4369
53,185,4369,162
185,4369,162,29
4369,162,29,31
162,29,31,6437
29,31,6437,7
31,6437,7,0
6437,7,0,344
7,0,344,3
0,344,3,2002
344,3,2002,16
3,2002,16,81
2002,16,81,72
16,81,72,200
81,72,200,57
72,200,57,2
200,57,2,538
57,2,538,5185
2,538,5185,7629
538,5185,7629,2
5185,7629,2,8407
7629,2,8407,19
2,8407,19,504
8407,19,504,3
19,504,3,0
504,3,0,36
3,0,36,4064
0,36,4064,3
36,4064,3,2041
4064,3,2041,7
3,2041,7,12
2041,7,12,1015
7,12,1015,3
12,1015,3,127
1015,3,127,2
3,127,2,678
127,2,678,861
2,678,861,40
678,861,40,2763
861,40,2763,11
40,2763,11,5308
2763,11,5308,1197
11,5308,1197,536
5308,1197,536,2536
1197,536,2536,369
536,2536,369,740
2536,369,740,1159
369,740,1159,29
740,1159,29,61
1159,29,61,8130
29,61,8130,1
61,8130,1,2
8130,1,2,1627
1,2,1627,32
2,1627,32,140
1627,32,140,185
32,140,185,162
140,185,162,19
185,162,19,610
162,19,610,3
19,610,3,6526
610,3,6526,11
3,6526,11,970
6526,11,970,195
11,970,195,324
970,195,324,73
195,324,73,29
324,73,29,31
73,29,31,142
29,31,142,349
31,142,349,79
142,349,79,2
349,79,2,178
79,2,178,205
2,178,205,77
178,205,77,61
205,77,61,1220
77,61,1220,4
61,1220,4,7543
1220,4,7543,13
4,7543,13,689
7543,13,689,1
13,689,1,15
689,1,15,709
1,15,709,191
15,709,191,76
709,191,76,19
191,76,19,36
76,19,36,4
19,36,4,42
36,4,42,24
4,42,24,10
42,24,10,610
24,10,610,3
10,610,3,131
610,3,131,0
3,131,0,823
131,0,823,4
0,823,4,1886
823,4,1886,547
4,1886,547,1
1886,547,1,889
547,1,889,158
1,889,158,14
889,158,14,24
158,14,24,5513
14,24,5513,1
24,5513,1,885
5513,1,885,4
1,885,4,72
885,4,72,1562
4,72,1562,8835
72,1562,8835,635
1562,8835,635,3801
8835,635,3801,30
635,3801,30,38
3801,30,38,769
30,38,769,1648
38,769,1648,262
769,1648,262,239
1648,262,239,387
262,239,387,3
239,387,3,752
387,3,752,41
3,752,41,0
752,41,0,782
41,0,782,63
0,782,63,323
782,63,323,5
63,323,5,1100
323,5,1100,261
5,1100,261,971
1100,261,971,22
261,971,22,598
971,22,598,18
22,598,18,0
598,18,0,209
18,0,209,4
0,209,4,2
209,4,2,1912
4,2,1912,884
2,1912,884,24
1912,884,24,2040
884,24,2040,261
24,2040,261,143
2040,261,143,4
261,143,4,21
143,4,21,8376
4,21,8376,1321
21,8376,1321,1
8376,1321,1,0
1321,1,0,628
1,0,628,11
0,628,11,486
628,11,486,158
11,486,158,4017
486,158,4017,13
158,4017,13,846
4017,13,846,0
13,846,0,782
846,0,782,14
0,782,14,57
782,14,57,29
14,57,29,4
57,29,4,685
29,4,685,548
4,685,548,33
685,548,33,22
548,33,22,351
33,22,351,191
22,351,191,10
351,191,10,610
191,10,610,58
10,610,58,3
610,58,3,5826
58,3,5826,0
3,5826,0,2687
5826,0,2687,24
0,2687,24,869
2687,24,869,0
24,869,0,397
869,0,397,80
0,397,80,2
397,80,2,205
80,2,205,320
2,205,320,117
205,320,117,24
320,117,24,5562
117,24,5562,53
24,5562,53,338
5562,53,338,237
53,338,237,24
338,237,24,10
237,24,10,7
24,10,7,0
10,7,0,397
7,0,397,0
0,397,0,327
397,0,327,69
0,327,69,0
327,69,0,5742
69,0,5742,9
0,5742,9,168
5742,9,168,38
9,168,38,210
168,38,210,44
38,210,44,140
210,44,140,1046
44,140,1046,10
140,1046,10,7
1046,10,7,616
10,7,616,11
7,616,11,193
616,11,193,906
11,193,906,10
193,906,10,1288
906,10,1288,2159
10,1288,2159,158
1288,2159,158,0
2159,158,0,1267
158,0,1267,60
0,1267,60,43
1267,60,43,27
60,43,27,3858
43,27,3858,15
27,3858,15,193
3858,15,193,75
15,193,75,29
193,75,29,5955
75,29,5955,2212
29,5955,2212,17
5955,2212,17,0
2212,17,0,247
17,0,247,2659
0,247,2659,4
247,2659,4,6493
2659,4,6493,29
4,6493,29,4
6493,29,4,685
29,4,685,4942
4,685,4942,3
685,4942,3,9
4942,3,9,2040
3,9,2040,7
9,2040,7,1865
2040,7,1865,191
7,1865,191,76
1865,191,76,80
191,76,80,2
76,80,2,60
80,2,60,2665
2,60,2665,4
60,2665,4,1841
2665,4,1841,1291
4,1841,1291,4
1841,1291,4,145
1291,4,145,5506
4,145,5506,1
145,5506,1,1877
5506,1,1877,50
1,1877,50,31
1877,50,31,268
50,31,268,55
31,268,55,324
268,55,324,73
55,324,73,6
324,73,6,1049
73,6,1049,9
6,1049,9,2
1049,9,2,214
9,2,214,349
2,214,349,79
214,349,79,1
349,79,1,2
79,1,2,7674
1,2,7674,2722
2,7674,2722,3
7674,2722,3,323
2722,3,323,153
3,323,153,0
323,153,0,1588
153,0,1588,4
0,1588,4,86
1588,4,86,29
4,86,29,261
86,29,261,61
29,261,61,2
261,61,2,356
61,2,356,203
2,356,203,16
356,203,16,4263
203,16,4263,33
16,4263,33,141
4263,33,141,9
33,141,9,611
141,9,611,303
9,611,303,1828
611,303,1828,63
303,1828,63,0
1828,63,0,84
63,0,84,4
0,84,4,261
84,4,261,697
4,261,697,1
261,697,1,191
697,1,191,290
1,191,290,38
191,290,38,3904
290,38,3904,3
38,3904,3,0
3904,3,0,1394
3,0,1394,10169
0,1394,10169,4
1394,10169,4,1263
10169,4,1263,296
4,1263,296,73
1263,296,73,5
296,73,5,10
73,5,10,723
5,10,723,15
10,723,15,525
723,15,525,4
15,525,4,42
525,4,42,3
4,42,3,59
42,3,59,33
3,59,33,656
59,33,656,38
33,656,38,5681
656,38,5681,197
38,5681,197,11
5681,197,11,298
197,11,298,160
11,298,160,854
298,160,854,8
160,854,8,231
854,8,231,41
8,231,41,109
231,41,109,2
41,109,2,937
109,2,937,6
2,937,6,288
937,6,288,53
6,288,53,241
288,53,241,4
53,241,4,831
241,4,831,3
4,831,3,0
831,3,0,162
3,0,162,77
0,162,77,61
162,77,61,146
77,61,146,18
61,146,18,5
146,18,5,51
18,5,51,162
5,51,162,697
51,162,697,9
162,697,9,99
697,9,99,6
9,99,6,5320
99,6,5320,3
6,5320,3,51
5320,3,51,200
3,51,200,16
51,200,16,3
200,16,3,1207
16,3,1207,14
3,1207,14,265
1207,14,265,66
14,265,66,2
265,66,2,1313
66,2,1313,1763
2,1313,1763,36
1313,1763,36,345
1763,36,345,27
36,345,27,2
345,27,2,1385
27,2,1385,16
2,1385,16,3
1385,16,3,799
16,3,799,184
3,799,184,37
799,184,37,652
184,37,652,686
37,652,686,5
652,686,5,1195
686,5,1195,443
5,1195,443,78
1195,443,78,400
443,78,400,54
78,400,54,5
400,54,5,83
54,5,83,75
5,83,75,46
83,75,46,176
75,46,176,269
46,176,269,9
176,269,9,51
269,9,51,332
9,51,332,87
51,332,87,67
332,87,67,109
87,67,109,97
67,109,97,3298
109,97,3298,28
97,3298,28,3
3298,28,3,90
28,3,90,7
3,90,7,2
90,7,2,655
7,2,655,427
2,655,427,4
655,427,4,251
427,4,251,0
4,251,0,1290
251,0,1290,3105
0,1290,3105,3
1290,3105,3,12
3105,3,12,226
3,12,226,139
12,226,139,324
226,139,324,73
139,324,73,1551
324,73,1551,2390
73,1551,2390,191
1551,2390,191,1
2390,191,1,288
191,1,288,689
1,288,689,8
288,689,8,19
689,8,19,16
8,19,16,3
19,16,3,27
16,3,27,1825
3,27,1825,157
27,1825,157,8
1825,157,8,19
157,8,19,446
8,19,446,3
19,446,3,1621
446,3,1621,79
3,1621,79,13
1621,79,13,12
79,13,12,74
13,12,74,71
12,74,71,2
74,71,2,710
71,2,710,197
2,710,197,0
710,197,0,247
197,0,247,1176
0,247,1176,4
247,1176,4,2
1176,4,2,198
4,2,198,77
2,198,77,22
198,77,22,343
77,22,343,26
22,343,26,12
343,26,12,1123
26,12,1123,324
12,1123,324,73
1123,324,73,10
324,73,10,616
73,10,616,30
10,616,30,113
616,30,113,116
30,113,116,6799
113,116,6799,37
116,6799,37,15
6799,37,15,2
37,15,2,229
15,2,229,324
2,229,324,73
229,324,73,114
324,73,114,52
73,114,52,12
114,52,12,925
52,12,925,1
12,925,1,426
925,1,426,15
1,426,15,2
426,15,2,237
15,2,237,322
2,237,322,18
237,322,18,0
322,18,0,1786
18,0,1786,104
0,1786,104,2
1786,104,2,69
104,2,69,8
2,69,8,66
69,8,66,41
8,66,41,1
66,41,1,114
41,1,114,28
1,114,28,121
114,28,121,1789
28,121,1789,4048
121,1789,4048,123
1789,4048,123,8
4048,123,8,613
123,8,613,2021
8,613,2021,1680
613,2021,1680,86
2021,1680,86,34
1680,86,34,552
86,34,552,199
34,552,199,3
552,199,3,2792
199,3,2792,5271
3,2792,5271,0
2792,5271,0,579
5271,0,579,7037
0,579,7037,20
579,7037,20,73
7037,20,73,4125
20,73,4125,9460
73,4125,9460,150
4125,9460,150,0
9460,150,0,1312
150,0,1312,5121
0,1312,5121,1705
1312,5121,1705,11
5121,1705,11,893
1705,11,893,150
11,893,150,1157
893,150,1157,216
150,1157,216,34
1157,216,34,10
216,34,10,379
34,10,379,2
10,379,2,299
379,2,299,378
2,299,378,8
299,378,8,125
378,8,125,0
8,125,0,3377
125,0,3377,4
0,3377,4,685
3377,4,685,129
4,685,129,92
685,129,92,3
129,92,3,242
92,3,242,6024
3,242,6024,30
242,6024,30,10108
6024,30,10108,42
30,10108,42,15
10108,42,15,4798
42,15,4798,1
15,4798,1,996
4798,1,996,3
1,996,3,2
996,3,2,369
3,2,369,126
2,369,126,2
369,126,2,655
126,2,655,427
2,655,427,10
655,427,10,88
427,10,88,3
10,88,3,27
88,3,27,780
3,27,780,18
27,780,18,609
780,18,609,1481
18,609,1481,162
609,1481,162,0
1481,162,0,8014
162,0,8014,7
0,8014,7,75
8014,7,75,1201
7,75,1201,100
75,1201,100,36
1201,100,36,1
100,36,1,73
36,1,73,15
1,73,15,39
73,15,39,1761
15,39,1761,429
39,1761,429,125
1761,429,125,4
429,125,4,2
125,4,2,3018
4,2,3018,5791
2,3018,5791,349
3018,5791,349,1794
5791,349,1794,2210
349,1794,2210,12
1794,2210,12,185
2210,12,185,5664
12,185,5664,77
185,5664,77,598
5664,77,598,1
77,598,1,201
598,1,201,9
1,201,9,999
201,9,999,8
9,999,8,1810
999,8,1810,0
8,1810,0,4129
1810,0,4129,68
0,4129,68,36
4129,68,36,159
68,36,159,8
36,159,8,22
159,8,22,286
8,22,286,142
22,286,142,4129
286,142,4129,117
142,4129,117,191
4129,117,191,290
117,191,290,1423
191,290,1423,76
290,1423,76,1
1423,76,1,191
76,1,191,290
1,191,290,10
191,290,10,7
290,10,7,73
10,7,73,307
7,73,307,1180
73,307,1180,254
307,1180,254,0
1180,254,0,461
254,0,461,2256
0,461,2256,218
461,2256,218,1
2256,218,1,907
218,1,907,833
1,907,833,353
907,833,353,2
833,353,2,159
353,2,159,3
2,159,3,0
159,3,0,201
3,0,201,191
0,201,191,3541
201,191,3541,20
191,3541,20,472
3541,20,472,7
20,472,7,996
472,7,996,426
7,996,426,9210
996,426,9210,13
426,9210,13,2
9210,13,2,563
13,2,563,11
2,563,11,231
563,11,231,28
11,231,28,32
231,28,32,0
28,32,0,259
32,0,259,13
0,259,13,95
259,13,95,1950
13,95,1950,8923
95,1950,8923,4
1950,8923,4,579
8923,4,579,1
4,579,1,765
579,1,765,39
1,765,39,110
765,39,110,4663
39,110,4663,20
110,4663,20,73
4663,20,73,354
20,73,354,12
73,354,12,532
354,12,532,191
12,532,191,2109
532,191,2109,55
191,2109,55,24
2109,55,24,10
55,24,10,322
24,10,322,1352
10,322,1352,18
322,1352,18,26
1352,18,26,20
18,26,20,8
26,20,8,493
20,8,493,41
8,493,41,927
493,41,927,265
41,927,265,66
927,265,66,2
265,66,2,1818
66,2,1818,17
2,1818,17,2
1818,17,2,477
17,2,477,3743
2,477,3743,2
477,3743,2,310
3743,2,310,4
2,310,4,181
310,4,181,194
4,181,194,32
181,194,32,76
194,32,76,48
32,76,48,2
76,48,2,7140
48,2,7140,55
2,7140,55,1169
7140,55,1169,1
55,1169,1,4511
1169,1,4511,191
1,4511,191,285
4511,191,285,41
191,285,41,178
285,41,178,264
41,178,264,178
178,264,178,2835
264,178,2835,24
178,2835,24,10
2835,24,10,33
24,10,33,82
10,33,82,2208
33,82,2208,4
82,2208,4,1858
2208,4,1858,7
4,1858,7,563
1858,7,563,564
7,563,564,42
563,564,42,33
564,42,33,30
42,33,30,2941
33,30,2941,3
30,2941,3,230
2941,3,230,7
3,230,7,563
230,7,563,564
7,563,564,42
563,564,42,9
564,42,9,190
42,9,190,27
9,190,27,1043
190,27,1043,20
27,1043,20,2
1043,20,2,7069
20,2,7069,927
2,7069,927,52
7069,927,52,53
927,52,53,6324
52,53,6324,8
53,6324,8,186
6324,8,186,21
8,186,21,2824
186,21,2824,18
21,2824,18,0
2824,18,0,159
18,0,159,2296
0,159,2296,4
159,2296,4,0
2296,4,0,857
4,0,857,1243
0,857,1243,186
857,1243,186,0
1243,186,0,1306
186,0,1306,4
0,1306,4,3697
1306,4,3697,7
4,3697,7,21
3697,7,21,1635
7,21,1635,84
21,1635,84,9
1635,84,9,113
84,9,113,210
9,113,210,142
